file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,graph2d_is_drawing_type,graph2d_ensemble_enabled,graph2d_ensemble_size,graph2d_voting,filename_label,filename_confidence,filename_match_type,filename_extracted_name,hybrid_label,hybrid_confidence,hybrid_source,hybrid_path,titleblock_label,titleblock_confidence,titleblock_part_name,titleblock_drawing_number,titleblock_material,titleblock_raw_texts_count,titleblock_region_entities_count,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
BTJ02230101102-12手轮组件v2.dxf,ok,手轮组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,手轮组件,0.95,exact,手轮组件,手轮组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dxf,ok,蜗杆,0.900,fusion,L2-Fusion-v1,,,,,,,,,蜗轮蜗杆传动出料机构,0.95,exact,蜗轮蜗杆传动出料机构,蜗轮蜗杆传动出料机构,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2925001-01人孔v2.dxf,ok,人孔,0.950,hybrid,HybridClassifier-v1,,,,,,,,,人孔,0.95,exact,人孔,人孔,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ02230101102-12手轮组件v1.dxf,ok,手轮组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,手轮组件,0.95,exact,手轮组件,手轮组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225004-04-05下封板v1.dxf,ok,下封板,0.950,hybrid,HybridClassifier-v1,,,,,,,,,下封板,0.95,exact,下封板,下封板,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01232801522-01电加热箱v2.dxf,ok,箱体,0.900,fusion,L2-Fusion-v1,,,,,,,,,电加热箱,0.95,exact,电加热箱,电加热箱,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
比较_LTJ012306102-0084调节螺栓v1 vs LTJ012306102-0084调节螺栓v2.dxf,ok,调节螺栓,0.950,hybrid,HybridClassifier-v1,,,,,,,,,调节螺栓,0.95,exact,调节螺栓,调节螺栓,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0224071-11-02过滤芯组件v2.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,,,,,,,,,过滤芯组件,0.95,exact,过滤芯组件,过滤芯组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225047-04罐体部分v2.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,,,,,,,,,罐体部分,0.95,exact,罐体部分,罐体部分,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225054-15罐体支腿v1.dxf,ok,支腿,0.900,fusion,L2-Fusion-v1,,,,,,,,,罐体支腿,0.95,exact,罐体支腿,罐体支腿,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225004-04-05下封板v2.dxf,ok,下封板,0.950,hybrid,HybridClassifier-v1,,,,,,,,,下封板,0.95,exact,下封板,下封板,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01230901522-00汽水分离器v1.dxf,ok,支腿,0.900,fusion,L2-Fusion-v1,,,,,,,,,汽水分离器,0.95,exact,汽水分离器,汽水分离器,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01231301522-01轴向定位轴承v1.dxf,ok,轴承,0.900,fusion,L2-Fusion-v1,,,,,,,,,轴向定位轴承,0.95,exact,轴向定位轴承,轴向定位轴承,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2925001-05管束v1.dxf,ok,管束,0.950,hybrid,HybridClassifier-v1,,,,,,,,,管束,0.95,exact,管束,管束,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225004-04搅拌桨组件v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,搅拌桨组件,0.95,exact,搅拌桨组件,搅拌桨组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
LTJ012306102-0084调节螺栓v2.dxf,ok,调节螺栓,0.950,hybrid,HybridClassifier-v1,,,,,,,,,调节螺栓,0.95,exact,调节螺栓,调节螺栓,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01239901522-00拖轮组件v2.dxf,ok,拖轮组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,拖轮组件,0.95,exact,拖轮组件,拖轮组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0224014-09液压开盖组件v2.dxf,ok,底板,0.900,fusion,L2-Fusion-v1,,,,,,,,,液压开盖组件,0.95,exact,液压开盖组件,液压开盖组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J1424042-00出料正压隔离器v1.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,,,,,,,,,出料正压隔离器,0.95,exact,出料正压隔离器,出料正压隔离器,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2925001-00再沸器v2.dxf,ok,再沸器,0.950,hybrid,HybridClassifier-v1,,,,,,,,,再沸器,0.95,exact,再沸器,再沸器,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0525002-04-02过滤托架v1.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,,,,,,,,,过滤托架,0.95,exact,过滤托架,过滤托架,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2825002-09下轴承支架组件v1.dxf,ok,轴承,0.900,fusion,L2-Fusion-v1,,,,,,,,,下轴承支架组件,0.95,exact,下轴承支架组件,下轴承支架组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2925001-01-01人孔法兰v2.dxf,ok,人孔法兰,0.950,hybrid,HybridClassifier-v1,,,,,,,,,人孔法兰,0.95,exact,人孔法兰,人孔法兰,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0224071-11捕集器组件v2.dxf,ok,捕集器组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,捕集器组件,0.95,exact,捕集器组件,捕集器组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ14240301522-00防爆视灯组件v1.dxf,ok,防爆视灯组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,防爆视灯组件,0.95,exact,防爆视灯组件,防爆视灯组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225001-09-04旋转组件v1.dxf,ok,旋转组件,1.000,fusion,L2-Fusion-v1,,,,,,,,,旋转组件,0.95,exact,旋转组件,旋转组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01231201522-00拖车DN1500v2.dxf,ok,complex_assembly,0.550,rules,v1,,,,,,,,,拖车,0.5,partial_low,拖车DN1500,拖车,0.35,fusion,filename_extracted;process_predicted;fusion_scored,,,,,,,,,,,,,,
J0225009-04-03阀体v2.dxf,ok,阀体,0.950,hybrid,HybridClassifier-v1,,,,,,,,,阀体,0.95,exact,阀体,阀体,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0224036-12真空组件v1.dxf,ok,真空组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,真空组件,0.95,exact,真空组件,真空组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01230901522-00汽水分离器v2.dxf,ok,支腿,0.900,fusion,L2-Fusion-v1,,,,,,,,,汽水分离器,0.95,exact,汽水分离器,汽水分离器,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0724006-01下锥体组件v1.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,,,,,,,,,下锥体组件,0.95,exact,下锥体组件,下锥体组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2825003-05下筒体组件v2.dxf,ok,下筒体组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,下筒体组件,0.95,exact,下筒体组件,下筒体组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225054-15罐体支腿v2.dxf,ok,支腿,0.900,fusion,L2-Fusion-v1,,,,,,,,,罐体支腿,0.95,exact,罐体支腿,罐体支腿,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2925004-04-01底板v1.dxf,ok,底板,0.900,fusion,L2-Fusion-v1,,,,,,,,,底板,0.95,exact,底板,底板,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01231101522-00自动进料装置v1.dxf,ok,自动进料装置,0.950,hybrid,HybridClassifier-v1,,,,,,,,,自动进料装置,0.95,exact,自动进料装置,自动进料装置,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0724006-02搅拌器组件v1.dxf,ok,机械制图,1.000,fusion,L2-Fusion-v1,,,,,,,,,搅拌器组件,0.95,exact,搅拌器组件,搅拌器组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0224036-12真空组件v2.dxf,ok,真空组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,真空组件,0.95,exact,真空组件,真空组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225004-04-04轴头组件v1.dxf,ok,轴头组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,轴头组件,0.95,exact,轴头组件,轴头组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2824002-06上封头组件v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,上封头组件,0.95,exact,上封头组件,上封头组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J3025001-12轴承座v2.dxf,ok,轴承,0.900,fusion,L2-Fusion-v1,,,,,,,,,轴承座,0.95,exact,轴承座,轴承座,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2925001-05管束v2.dxf,ok,管束,0.950,hybrid,HybridClassifier-v1,,,,,,,,,管束,0.95,exact,管束,管束,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2925001-00再沸器v3.dxf,ok,再沸器,0.950,hybrid,HybridClassifier-v1,,,,,,,,,再沸器,0.95,exact,再沸器,再沸器,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0724006-05上封头组件v2.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,,,,,,,,,上封头组件,0.95,exact,上封头组件,上封头组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0724006-01下锥体组件v3.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,,,,,,,,,下锥体组件,0.95,exact,下锥体组件,下锥体组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0224036-10搅拌减速机机罩v1.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,,,,,,,,,搅拌减速机机罩,0.95,exact,搅拌减速机机罩,搅拌减速机机罩,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225048-02-07侧推料组件v1.dxf,ok,侧推料组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,侧推料组件,0.95,exact,侧推料组件,侧推料组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0224070-04-07捕集口v2.dxf,ok,捕集口,0.950,hybrid,HybridClassifier-v1,,,,,,,,,捕集口,0.95,exact,捕集口,捕集口,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0525002-04-02过滤托架v3.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,,,,,,,,,过滤托架,0.95,exact,过滤托架,过滤托架,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01239901522-00拖轮组件v1.dxf,ok,拖轮组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,拖轮组件,0.95,exact,拖轮组件,拖轮组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0224014-09液压开盖组件v1.dxf,ok,底板,0.900,fusion,L2-Fusion-v1,,,,,,,,,液压开盖组件,0.95,exact,液压开盖组件,液压开盖组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01239601522-03扭转弹簧v2.dxf,ok,扭转弹簧,0.950,hybrid,HybridClassifier-v1,,,,,,,,,扭转弹簧,0.95,exact,扭转弹簧,扭转弹簧,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0224071-11捕集器组件v1.dxf,ok,捕集器组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,捕集器组件,0.95,exact,捕集器组件,捕集器组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01231301522-01轴向定位轴承v2.dxf,ok,轴承,0.900,fusion,L2-Fusion-v1,,,,,,,,,轴向定位轴承,0.95,exact,轴向定位轴承,轴向定位轴承,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01239601522-03扭转弹簧v3.dxf,ok,扭转弹簧,0.950,hybrid,HybridClassifier-v1,,,,,,,,,扭转弹簧,0.95,exact,扭转弹簧,扭转弹簧,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0525002-04-02过滤托架v2.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,,,,,,,,,过滤托架,0.95,exact,过滤托架,过滤托架,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0225034-05罐体部分v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,罐体部分,0.95,exact,罐体部分,罐体部分,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2925004-04-01底板v2.dxf,ok,底板,0.900,fusion,L2-Fusion-v1,,,,,,,,,底板,0.95,exact,底板,底板,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0224025-06-01-03出料凸缘v1.dxf,ok,出料凸缘,0.950,hybrid,HybridClassifier-v1,,,,,,,,,出料凸缘,0.95,exact,出料凸缘,出料凸缘,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01231501522-00短轴承座(盖)v3.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,短轴承座(盖),0.95,exact,短轴承座(盖),短轴承座(盖),0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0724006-01下锥体组件v2.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,,,,,,,,,下锥体组件,0.95,exact,下锥体组件,下锥体组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ02230301120-03保护罩组件v1.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,,,,,,,,,保护罩组件,0.95,exact,保护罩组件,保护罩组件,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dxf,ok,蜗杆,0.900,fusion,L2-Fusion-v1,,,,,,,,,蜗轮蜗杆传动出料机构,0.95,exact,蜗轮蜗杆传动出料机构,蜗轮蜗杆传动出料机构,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ01231501522-00短轴承座(盖)v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,短轴承座(盖),0.95,exact,短轴承座(盖),短轴承座(盖),0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
LTJ012303106-0030连接法兰(大)v2.dxf,ok,连接法兰(大),0.950,hybrid,HybridClassifier-v1,,,,,,,,,连接法兰(大),0.95,exact,连接法兰(大),连接法兰(大),0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2825002-06上筒体组件v3.dxf,ok,上筒体组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,上筒体组件,0.95,exact,上筒体组件,上筒体组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0224036-10搅拌减速机机罩v2.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,,,,,,,,,搅拌减速机机罩,0.95,exact,搅拌减速机机罩,搅拌减速机机罩,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
BTJ14240301522-00防爆视灯组件v2.dxf,ok,防爆视灯组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,防爆视灯组件,0.95,exact,防爆视灯组件,防爆视灯组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J2925001-00再沸器v1.dxf,ok,再沸器,0.950,hybrid,HybridClassifier-v1,,,,,,,,,再沸器,0.95,exact,再沸器,再沸器,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,,,,,,,
J0525002-04-02过滤托架v4.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,,,,,,,,,过滤托架,0.95,exact,过滤托架,过滤托架,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
LTJ012303106-0001超声波法兰v1.dxf,ok,超声波法兰,0.950,hybrid,HybridClassifier-v1,,,,,,,,,超声波法兰,0.95,exact,超声波法兰,超声波法兰,0.95,filename,filename_extracted;process_predicted;filename_high_conf_adopted,,,,,,,,,,,,,,
