file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dxf,ok,蜗杆,0.900,fusion,L2-Fusion-v1,传动件,0.16052380204200745,Standard_Part,0.6000000000000001,False,传动件,0.16052380204200745,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225001-09-04旋转组件v2.dxf,ok,旋转组件,1.000,fusion,L2-Fusion-v1,传动件,0.1879260390996933,Standard_Part,0.55,False,传动件,0.1879260390996933,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ02230301120-03保护罩组件v2.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,罐体,0.16514308750629425,Standard_Part,0.55,False,罐体,0.16514308750629425,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ14240301522-00防爆视灯组件v2.dxf,ok,complex_assembly,0.550,rules,v1,罐体,0.15764811635017395,Standard_Part,0.55,False,罐体,0.15764811635017395,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01230901522-00汽水分离器v1.dxf,ok,支腿,0.900,fusion,L2-Fusion-v1,设备,0.1643086075782776,Standard_Part,0.55,False,设备,0.1643086075782776,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225054-15罐体支腿v2.dxf,ok,支腿,0.900,fusion,L2-Fusion-v1,传动件,0.17426903545856476,Standard_Part,0.55,False,传动件,0.17426903545856476,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11-02过滤芯组件v1.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,传动件,0.177311971783638,Standard_Part,0.55,False,传动件,0.177311971783638,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224070-04-07捕集口v2.dxf,ok,moderate_component,0.600,rules,v1,传动件,0.16953609883785248,Standard_Part,0.55,False,传动件,0.16953609883785248,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225009-04-03阀体v1.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.16415365040302277,Standard_Part,0.55,False,传动件,0.16415365040302277,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0525002-04-02过滤托架v2.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,传动件,0.1689451038837433,Standard_Part,0.6000000000000001,False,传动件,0.1689451038837433,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231101522-00自动进料装置v2.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.16855575144290924,Standard_Part,0.55,False,传动件,0.16855575144290924,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-02搅拌器组件v1.dxf,ok,机械制图,1.000,fusion,L2-Fusion-v1,传动件,0.1639578938484192,Standard_Part,0.6000000000000001,False,传动件,0.1639578938484192,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2824002-06上封头组件v2.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,设备,0.16460609436035156,Standard_Part,0.55,False,设备,0.16460609436035156,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012306102-0084调节螺栓v1.dxf,ok,moderate_component,0.600,rules,v1,传动件,0.16923317313194275,Standard_Part,0.55,False,传动件,0.16923317313194275,0.17,below_threshold
