input_path,dxf_path,png_path,geom_json_path,index_success,index_drawing_id,index_file_hash,search_status,search_success,total_matches,duplicate_count,similar_count,final_level,timing_total_ms,error
/app/data/dedupcad_batch/input/J0224014-09液压开盖组件v2.dxf,/app/data/dedupcad_batch/input/J0224014-09液压开盖组件v2.dxf,/app/data/dedupcad_batch/work/J0224014-09液压开盖组件v2.png,/app/data/dedupcad_batch/work/J0224014-09液压开盖组件v2.v2.json,,,,completed,True,2,2,0,4,465.57738090632483,
/app/data/dedupcad_batch/input/J0224025-06-01-03出料凸缘v1.dxf,/app/data/dedupcad_batch/input/J0224025-06-01-03出料凸缘v1.dxf,/app/data/dedupcad_batch/work/J0224025-06-01-03出料凸缘v1.png,/app/data/dedupcad_batch/work/J0224025-06-01-03出料凸缘v1.v2.json,,,,completed,True,2,2,0,4,278.97879644297063,
/app/data/dedupcad_batch/input/J0224025-06-01-03出料凸缘v2.dxf,/app/data/dedupcad_batch/input/J0224025-06-01-03出料凸缘v2.dxf,/app/data/dedupcad_batch/work/J0224025-06-01-03出料凸缘v2.png,/app/data/dedupcad_batch/work/J0224025-06-01-03出料凸缘v2.v2.json,,,,completed,True,2,2,0,4,261.9707814301364,
/app/data/dedupcad_batch/input/J0224036-10搅拌减速机机罩v1.dxf,/app/data/dedupcad_batch/input/J0224036-10搅拌减速机机罩v1.dxf,/app/data/dedupcad_batch/work/J0224036-10搅拌减速机机罩v1.png,/app/data/dedupcad_batch/work/J0224036-10搅拌减速机机罩v1.v2.json,,,,completed,True,2,2,0,4,259.5307560986839,
/app/data/dedupcad_batch/input/J0224036-10搅拌减速机机罩v2.dxf,/app/data/dedupcad_batch/input/J0224036-10搅拌减速机机罩v2.dxf,/app/data/dedupcad_batch/work/J0224036-10搅拌减速机机罩v2.png,/app/data/dedupcad_batch/work/J0224036-10搅拌减速机机罩v2.v2.json,,,,completed,True,2,2,0,4,305.5018622544594,
/app/data/dedupcad_batch/input/J0224036-12真空组件v1.dxf,/app/data/dedupcad_batch/input/J0224036-12真空组件v1.dxf,/app/data/dedupcad_batch/work/J0224036-12真空组件v1.png,/app/data/dedupcad_batch/work/J0224036-12真空组件v1.v2.json,,,,completed,True,2,2,0,4,247.80751258367673,
/app/data/dedupcad_batch/input/J0224036-12真空组件v2.dxf,/app/data/dedupcad_batch/input/J0224036-12真空组件v2.dxf,/app/data/dedupcad_batch/work/J0224036-12真空组件v2.png,/app/data/dedupcad_batch/work/J0224036-12真空组件v2.v2.json,,,,completed,True,2,2,0,4,228.76990970689803,
/app/data/dedupcad_batch/input/J0224070-04-07捕集口v1.dxf,/app/data/dedupcad_batch/input/J0224070-04-07捕集口v1.dxf,/app/data/dedupcad_batch/work/J0224070-04-07捕集口v1.png,/app/data/dedupcad_batch/work/J0224070-04-07捕集口v1.v2.json,,,,completed,True,2,1,1,4,211.5294368704781,
/app/data/dedupcad_batch/input/J0224070-04-07捕集口v2.dxf,/app/data/dedupcad_batch/input/J0224070-04-07捕集口v2.dxf,/app/data/dedupcad_batch/work/J0224070-04-07捕集口v2.png,/app/data/dedupcad_batch/work/J0224070-04-07捕集口v2.v2.json,,,,completed,True,2,1,1,4,255.42208389379084,
/app/data/dedupcad_batch/input/J0224071-11-02过滤芯组件v1.dxf,/app/data/dedupcad_batch/input/J0224071-11-02过滤芯组件v1.dxf,/app/data/dedupcad_batch/work/J0224071-11-02过滤芯组件v1.png,/app/data/dedupcad_batch/work/J0224071-11-02过滤芯组件v1.v2.json,,,,completed,True,2,1,1,4,236.98466189671308,
/app/data/dedupcad_batch/input/J0224071-11-02过滤芯组件v2.dxf,/app/data/dedupcad_batch/input/J0224071-11-02过滤芯组件v2.dxf,/app/data/dedupcad_batch/work/J0224071-11-02过滤芯组件v2.png,/app/data/dedupcad_batch/work/J0224071-11-02过滤芯组件v2.v2.json,,,,completed,True,2,1,1,4,367.3216929892078,
/app/data/dedupcad_batch/input/J0224071-11捕集器组件v1.dxf,/app/data/dedupcad_batch/input/J0224071-11捕集器组件v1.dxf,/app/data/dedupcad_batch/work/J0224071-11捕集器组件v1.png,/app/data/dedupcad_batch/work/J0224071-11捕集器组件v1.v2.json,,,,completed,True,2,1,1,4,297.5600827485323,
