file_name,output_path,status,error,relative_path,source_dir
J0225047-04罐体部分v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225047-04罐体部分v2.dxf,ok,,J0225047-04罐体部分v2.dwg,训练图纸
J0225047-04罐体部分v3.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225047-04罐体部分v3.dxf,ok,,J0225047-04罐体部分v3.dwg,训练图纸
J0225048-02-07侧推料组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225048-02-07侧推料组件v1.dxf,ok,,J0225048-02-07侧推料组件v1.dwg,训练图纸
J0225048-02-07侧推料组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225048-02-07侧推料组件v2.dxf,ok,,J0225048-02-07侧推料组件v2.dwg,训练图纸
J0225054-15-01支承座v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225054-15-01支承座v1.dxf,ok,,J0225054-15-01支承座v1.dwg,训练图纸
J0225054-15-01支承座v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225054-15-01支承座v2.dxf,ok,,J0225054-15-01支承座v2.dwg,训练图纸
J0225054-15罐体支腿v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225054-15罐体支腿v1.dxf,ok,,J0225054-15罐体支腿v1.dwg,训练图纸
J0225054-15罐体支腿v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225054-15罐体支腿v2.dxf,ok,,J0225054-15罐体支腿v2.dwg,训练图纸
J0525002-04-02过滤托架v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0525002-04-02过滤托架v1.dxf,ok,,J0525002-04-02过滤托架v1.dwg,训练图纸
J0525002-04-02过滤托架v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0525002-04-02过滤托架v2.dxf,ok,,J0525002-04-02过滤托架v2.dwg,训练图纸
J0525002-04-02过滤托架v3.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0525002-04-02过滤托架v3.dxf,ok,,J0525002-04-02过滤托架v3.dwg,训练图纸
J0525002-04-02过滤托架v4.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0525002-04-02过滤托架v4.dxf,ok,,J0525002-04-02过滤托架v4.dwg,训练图纸
J0724006-01下锥体组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-01下锥体组件v1.dxf,ok,,J0724006-01下锥体组件v1.dwg,训练图纸
J0724006-01下锥体组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-01下锥体组件v2.dxf,ok,,J0724006-01下锥体组件v2.dwg,训练图纸
J0724006-01下锥体组件v3.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-01下锥体组件v3.dxf,ok,,J0724006-01下锥体组件v3.dwg,训练图纸
J0724006-02搅拌器组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-02搅拌器组件v1.dxf,ok,,J0724006-02搅拌器组件v1.dwg,训练图纸
J0724006-02搅拌器组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-02搅拌器组件v2.dxf,ok,,J0724006-02搅拌器组件v2.dwg,训练图纸
J0724006-05上封头组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-05上封头组件v1.dxf,ok,,J0724006-05上封头组件v1.dwg,训练图纸
J0724006-05上封头组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-05上封头组件v2.dxf,ok,,J0724006-05上封头组件v2.dwg,训练图纸
J0724006-05上封头组件v3.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-05上封头组件v3.dxf,ok,,J0724006-05上封头组件v3.dwg,训练图纸
J1424042-00出料正压隔离器v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J1424042-00出料正压隔离器v1.dxf,ok,,J1424042-00出料正压隔离器v1.dwg,训练图纸
J1424042-00出料正压隔离器v2-yuantus.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J1424042-00出料正压隔离器v2-yuantus.dxf,ok,,J1424042-00出料正压隔离器v2-yuantus.dwg,训练图纸
J1424042-51-01-08对接法兰v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J1424042-51-01-08对接法兰v1.dxf,ok,,J1424042-51-01-08对接法兰v1.dwg,训练图纸
J1424042-51-01-08对接法兰v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J1424042-51-01-08对接法兰v2.dxf,ok,,J1424042-51-01-08对接法兰v2.dwg,训练图纸
J2824002-06上封头组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2824002-06上封头组件v1.dxf,ok,,J2824002-06上封头组件v1.dwg,训练图纸
J2824002-06上封头组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2824002-06上封头组件v2.dxf,ok,,J2824002-06上封头组件v2.dwg,训练图纸
