file,part_type,confidence,graph2d_label,graph2d_confidence,confidence_source
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231201522-00拖车DN1500v1.dxf,complex_assembly,0.550,机械制图,0.32524600625038147,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0224014-09液压开盖组件v2.dxf,底板,0.900,机械制图,0.36959534883499146,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231301522-00蜗轮蜗杆传动出料机构v2.dxf,蜗杆,0.900,机械制图,0.37718528509140015,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01230901522-00汽水分离器v2.dxf,支腿,0.900,机械制图,0.34137284755706787,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2925001-00再沸器v3.dxf,complex_assembly,0.550,装配图,0.9825954437255859,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0724006-05上封头组件v3.dxf,机械制图,0.900,装配图,0.6346863508224487,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0724006-05上封头组件v2.dxf,机械制图,0.900,装配图,0.6346863508224487,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2925004-04-01底板v1.dxf,底板,0.900,机械制图,0.3437904417514801,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01232801522-01电加热箱v1.dxf,箱体,0.900,机械制图,0.36205485463142395,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225001-09-04旋转组件v1.dxf,旋转组件,1.000,机械制图,0.402751624584198,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225004-08搅拌轴组件v2.dxf,旋转组件,0.900,零件图,0.35700228810310364,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0224014-09液压开盖组件v1.dxf,底板,0.900,机械制图,0.36959534883499146,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231501522-00短轴承座(盖)v2.dxf,盖,0.900,机械制图,0.36914125084877014,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231301522-01轴向定位轴承v2.dxf,轴承,0.900,零件图,0.28937801718711853,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225047-04罐体部分v3.dxf,挡板,0.900,机械制图,0.3299669325351715,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2825002-06上筒体组件v3.dxf,complex_assembly,0.550,机械制图,0.40043526887893677,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225004-04-04轴头组件v1.dxf,complex_assembly,0.550,零件图,0.36262112855911255,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J1424042-51-01-08对接法兰v1.dxf,moderate_component,0.600,机械制图,0.36181142926216125,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2925001-01人孔v1.dxf,complex_assembly,0.550,机械制图,0.34337368607521057,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225004-04-05下封板v2.dxf,moderate_component,0.600,模板,0.3152735233306885,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2925001-01-01人孔法兰v1.dxf,moderate_component,0.600,机械制图,0.4056413471698761,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231501522-00短轴承座(盖)v3.dxf,盖,0.900,机械制图,0.36914125084877014,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2825002-09下轴承支架组件v2.dxf,轴承,0.900,机械制图,0.3247826099395752,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0224070-04-07捕集口v1.dxf,moderate_component,0.600,机械制图,0.3289144039154053,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231501522-00短轴承座(盖)v1.dxf,盖,0.900,机械制图,0.36919140815734863,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2925001-01-01人孔法兰v2.dxf,moderate_component,0.600,机械制图,0.40042442083358765,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ02230101102-12手轮组件v2.dxf,moderate_component,0.600,装配图,0.4655594229698181,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01239601522-03扭转弹簧v3.dxf,moderate_component,0.600,零件图,0.33615466952323914,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225009-04-03阀体v2.dxf,complex_assembly,0.550,模板,0.572576642036438,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01239901522-00拖轮组件v2.dxf,moderate_component,0.600,机械制图,0.3867775499820709,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225054-15-01支承座v2.dxf,盖,0.900,机械制图,0.38145381212234497,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/LTJ012303106-0001超声波法兰v2.dxf,moderate_component,0.600,零件图,0.35084962844848633,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225004-04-04轴头组件v2.dxf,complex_assembly,0.550,零件图,0.36262112855911255,rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225054-15-01支承座v1.dxf,盖,0.900,机械制图,0.3817373514175415,fusion
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225004-04搅拌桨组件v2.dxf,盖,0.900,机械制图,0.32500287890434265,fusion
