file_name,output_path,status,error,relative_path,source_dir
机械制图36.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图36.dxf,ok,,CAD机械零件图纸127个/8/机械制图36.dwg,机械CAD图纸
机械制图37.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图37.dxf,ok,,CAD机械零件图纸127个/8/机械制图37.dwg,机械CAD图纸
机械制图38.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图38.dxf,ok,,CAD机械零件图纸127个/8/机械制图38.dwg,机械CAD图纸
机械制图39.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图39.dxf,ok,,CAD机械零件图纸127个/8/机械制图39.dwg,机械CAD图纸
机械制图40.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图40.dxf,ok,,CAD机械零件图纸127个/8/机械制图40.dwg,机械CAD图纸
机械制图41.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图41.dxf,ok,,CAD机械零件图纸127个/8/机械制图41.dwg,机械CAD图纸
机械制图42.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图42.dxf,ok,,CAD机械零件图纸127个/9/机械制图42.dwg,机械CAD图纸
机械制图43.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图43.dxf,ok,,CAD机械零件图纸127个/9/机械制图43.dwg,机械CAD图纸
机械制图44.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图44.dxf,ok,,CAD机械零件图纸127个/9/机械制图44.dwg,机械CAD图纸
机械制图45.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图45.dxf,ok,,CAD机械零件图纸127个/9/机械制图45.dwg,机械CAD图纸
