file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,graph2d_is_drawing_type,graph2d_ensemble_enabled,graph2d_ensemble_size,graph2d_voting,filename_label,filename_confidence,filename_match_type,filename_extracted_name,hybrid_label,hybrid_confidence,hybrid_source,hybrid_path,titleblock_label,titleblock_confidence,titleblock_status,titleblock_part_name,titleblock_drawing_number,titleblock_material,titleblock_raw_texts_count,titleblock_region_entities_count,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
J0225001-09-04旋转组件v2.dxf,ok,旋转组件,1.000,fusion,L2-Fusion-v1,,,,,,,,,旋转组件,0.95,exact,旋转组件,旋转组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,旋转组件,0.85,matched,旋转组件,J0225001-09-04,组合件,82,82,,,,,,,
BTJ02230101102-12手轮组件v2.dxf,ok,手轮组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,手轮组件,0.95,exact,手轮组件,手轮组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,手轮组件,0.85,matched,手轮组件,BTJ02230101102-12,组合件,24,24,,,,,,,
BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dxf,ok,蜗杆,0.900,fusion,L2-Fusion-v1,,,,,,,,,蜗轮蜗杆传动出料机构,0.95,exact,蜗轮蜗杆传动出料机构,蜗轮蜗杆传动出料机构,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,蜗轮蜗杆传动出料机构,0.85,matched,蜗轮蜗杆传动出料机构,BTJ01231301522-00,组合件,54,54,,,,,,,
J2925001-01人孔v2.dxf,ok,人孔,0.950,hybrid,HybridClassifier-v1,,,,,,,,,人孔,0.95,exact,人孔,人孔,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,人孔,0.85,matched,人孔,J2925001-01,组合件,83,83,,,,,,,
BTJ02230101102-12手轮组件v1.dxf,ok,手轮组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,手轮组件,0.95,exact,手轮组件,手轮组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,手轮组件,0.85,matched,手轮组件,BTJ02230101102-12,组合件,24,24,,,,,,,
J0225004-04-05下封板v1.dxf,ok,下封板,0.950,hybrid,HybridClassifier-v1,,,,,,,,,下封板,0.95,exact,下封板,下封板,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,下封板,0.85,matched,下封板,J0225004-04-05,TA2,9,9,,,,,,,
BTJ01232801522-01电加热箱v2.dxf,ok,箱体,0.900,fusion,L2-Fusion-v1,,,,,,,,,电加热箱,0.95,exact,电加热箱,电加热箱,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,电加热箱,0.85,matched,电加热箱,BTJ01232801522-01,组合件,86,86,,,,,,,
比较_LTJ012306102-0084调节螺栓v1 vs LTJ012306102-0084调节螺栓v2.dxf,ok,调节螺栓,0.950,hybrid,HybridClassifier-v1,,,,,,,,,调节螺栓,0.95,exact,调节螺栓,调节螺栓,0.95,filename,filename_extracted;titleblock_predicted;titleblock_filename_conflict;titleblock_ignored_filename_high_conf;filename_high_conf_adopted,轴类,0.85,matched,小减速机轴,LTJ012306102-0084,45,9,9,,,,,,,
J0224071-11-02过滤芯组件v2.dxf,ok,过滤芯组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,过滤芯组件,0.95,exact,过滤芯组件,过滤芯组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,过滤芯组件,0.85,matched,过滤芯组件,J0224071-11-02,组焊件,60,60,,,,,,,
J0225047-04罐体部分v2.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,,,,,,,,,罐体部分,0.95,exact,罐体部分,罐体部分,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,罐体部分,0.85,matched,罐体部分,J0225047-04,组合件,69,69,,,,,,,
J0225054-15罐体支腿v1.dxf,ok,支腿,0.900,fusion,L2-Fusion-v1,,,,,,,,,罐体支腿,0.95,exact,罐体支腿,罐体支腿,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,罐体支腿,0.85,matched,罐体支腿,J0225054-15,组合件,38,38,,,,,,,
J0225004-04-05下封板v2.dxf,ok,下封板,0.950,hybrid,HybridClassifier-v1,,,,,,,,,下封板,0.95,exact,下封板,下封板,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,下封板,0.85,matched,下封板,J0225004-04-05,TA2,9,9,,,,,,,
BTJ01230901522-00汽水分离器v1.dxf,ok,支腿,0.900,fusion,L2-Fusion-v1,,,,,,,,,汽水分离器,0.95,exact,汽水分离器,汽水分离器,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,汽水分离器,0.85,matched,汽水分离器,BTJ01230901522-00,S30408,31,31,,,,,,,
BTJ01231301522-01轴向定位轴承v1.dxf,ok,轴承,0.900,fusion,L2-Fusion-v1,,,,,,,,,轴向定位轴承,0.95,exact,轴向定位轴承,轴向定位轴承,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,轴向定位轴承,0.85,matched,轴向定位轴承,BTJ01231301522-01,组合件,28,28,,,,,,,
J2925001-05管束v1.dxf,ok,管束,0.950,hybrid,HybridClassifier-v1,,,,,,,,,管束,0.95,exact,管束,管束,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,管束,0.85,matched,管束,J2925001-05,S30408,106,106,,,,,,,
J0225004-04搅拌桨组件v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,搅拌桨组件,0.95,exact,搅拌桨组件,搅拌桨组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,搅拌桨组件,0.85,matched,搅拌桨组件,J0225004-04,组合件,65,65,,,,,,,
LTJ012306102-0084调节螺栓v2.dxf,ok,调节螺栓,0.950,hybrid,HybridClassifier-v1,,,,,,,,,调节螺栓,0.95,exact,调节螺栓,调节螺栓,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,调节螺栓,0.85,matched,调节螺栓,LTJ012306102-0084,S30408,7,7,,,,,,,
BTJ01239901522-00拖轮组件v2.dxf,ok,拖轮组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,拖轮组件,0.95,exact,拖轮组件,拖轮组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,拖轮组件,0.85,matched,拖轮组件,BTJ01239901522-00,组件,49,49,,,,,,,
J0224014-09液压开盖组件v2.dxf,ok,底板,0.900,fusion,L2-Fusion-v1,,,,,,,,,液压开盖组件,0.95,exact,液压开盖组件,液压开盖组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,液压开盖组件,0.85,matched,液压开盖组件,J0224014-09,组合件,53,53,,,,,,,
